Bankable,Breeedable Form,Origin,Games First Appears On,Form variant,Regional form,Special form,Family,Family order,Evolution,Pokémon,Pokémon Fr,Dex,Sprites,Shiny Sprites,Icon,Bulbapedia Name,Bankable-ish,Slug,Type 1,Type 1 ico,Type 2,Type 2 ico,Steps,Egg Group,Egg Group 2,Male,Female,Ability 1,Ability 2,Hidden Ability,Abilities,All Moves,Move Type,Natures,Increases,Decreases
No,Yes,2,"Gold, Silver, Crystal",,,,Egg,0,,Egg,Oeuf,0,,,egg,Egg,,egg,,,,,,,,,,,,,,,,,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Bulbasaur,0,,Bulbasaur,Bulbizarre,1,,,bulbasaur,Bulbasaur,,bulbasaur,Grass,,Poison,,"5,120",Monster,Grass,88.10%,11.90%,Overgrow,,Chlorophyll,Aerilate,Absorb,Grass,Bashful,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Bulbasaur,1,16,Ivysaur,Herbizarre,2,,,ivysaur,Ivysaur,,ivysaur,Grass,,Poison,,"5,120",Monster,Grass,88.10%,11.90%,Overgrow,,Chlorophyll,Aftermath,Accelerock,Rock,Bold,Defense,Attack
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Bulbasaur,2,32,Venusaur,Florizarre,3,,,venusaur,Venusaur,,venusaur,Grass,,Poison,,"5,120",Monster,Grass,88.10%,11.90%,Overgrow,,Chlorophyll,Air Lock,Acid,Poison,Brave,Attack,Speed
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Bulbasaur,3,32,Venusaur ♀,Florizarre ♀,3,,,venusaur,Venusaur,,venusaur-f,Grass,,Poison,,"5,120",Monster,Grass,88.10%,11.90%,Overgrow,,Chlorophyll,Analytic,Acid Armor,Poison,Calm,Sp. Defense,Attack
No,No,6,"X, Y",,,Mega,Bulbasaur,4,,Mega Venusaur,Mega Florizarre,3,,,venusaur-mega,Venusaur,Yes,venusaur-mega,Grass,,Poison,,"5,120",Monster,Grass,88.10%,11.90%,Thick Fat,,,Anger Point,Acid Downpour,Poison,Careful,Sp. Defense,Sp. Attack
Yes,Yes,8,"Sword, Shield",,,Gigantamax,Bulbasaur,5,32,Gigantamax Venusaur,Gigamax Florizarre,3,,,venusaur-gmax,Venusaur,,venusaur-gmax,Grass,,Poison,,"5,120",Monster,Grass,88.10%,11.90%,Overgrow,,Chlorophyll,Air Lock,Acid,Poison,Brave,Attack,Speed
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Charmander,0,,Charmander,Salamèche,4,,,charmander,Charmander,,charmander,Fire,,,,"5,120",Monster,Dragon,88.10%,11.90%,Blaze,,Solar Power,Anticipation,Acid Spray,Poison,Docile,,
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Charmander,1,16,Charmeleon,Reptincel,5,,,charmeleon,Charmeleon,,charmeleon,Fire,,,,"5,120",Monster,Dragon,88.10%,11.90%,Blaze,,Solar Power,Arena Trap,Acrobatics,Flying,Gentle,Sp. Defense,Defense
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Charmander,2,36,Charizard,Dracaufeu,6,,,charizard,Charizard,,charizard,Fire,,Flying,,"5,120",Monster,Dragon,88.10%,11.90%,Blaze,,Solar Power,Aroma Veil,Acupressure,Normal,Hardy,,
No,No,6,"X, Y",,,Mega,Charmander,3,,Mega Charizard X,Mega Dracaufeu X,6,,,charizard-mega-x,Charizard,Yes,charizard-mega-x,Fire,,Dragon,,"5,120",Monster,Dragon,88.10%,11.90%,Tough Claws,,,Aura Break,Aerial Ace,Flying,Hasty,Speed,Defense
No,No,6,"X, Y",,,Mega,Charmander,4,,Mega Charizard Y,Mega Dracaufeu Y,6,,,charizard-mega-y,Charizard,Yes,charizard-mega-y,Fire,,Flying,,"5,120",Monster,Dragon,88.10%,11.90%,Drought,,,Bad Dreams,Aeroblast,Flying,Impish,Defense,Sp. Attack
Yes,No,8,"Sword, Shield",,,Gigantamax,Charmander,5,,Gigantamax Charizard,Gigamax Dracaufeu,6,,,charizard-gmax,Charizard,,charizard-gmax,Fire,,Flying,,"5,120",Monster,Dragon,88.10%,11.90%,Blaze,,Solar Power,Ball Fetch,After You,Normal,Jolly,Speed,Sp. Attack
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Squirtle,0,,Squirtle,Carapuce,7,,,squirtle,Squirtle,,squirtle,Water,,,,"5,120",Monster,Water 1,88.10%,11.90%,Torrent,,Rain Dish,Battery,Agility,Pyschic,Lax,Defense,Sp. Defense
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Squirtle,1,16,Wartortle,Carabaffe,8,,,wartortle,Wartortle,,wartortle,Water,,,,"5,120",Monster,Water 1,88.10%,11.90%,Torrent,,Rain Dish,Battle Armor,Air Cutter,Flying,Lonely,Attack,Defense
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Squirtle,2,36,Blastoise,Tortank,9,,,blastoise,Blastoise,,blastoise,Water,,,,"5,120",Monster,Water 1,88.10%,11.90%,Torrent,,Rain Dish,Battle Bond,Air Slash,Flying,Mild,Sp. Attack,Defense
No,No,6,"X, Y",,,Mega,Squirtle,3,,Mega Blastoise,Mega Tortank,9,,,blastoise-mega,Blastoise,Yes,blastoise-mega,Water,,,,"5,120",Monster,Water 1,88.10%,11.90%,Mega Launcher,,,Beast Boost,All-Out Pummeling,Fighting,Modest,Sp. Attack,Attack
Yes,Yes,8,"Sword, Shield",,,Gigantamax,Squirtle,4,36,Gigantamax Blastoise,Gigamax Tortank,9,,,blastoise-gmax,Blastoise,,blastoise-gmax,Water,,,,"5,120",Monster,Water 1,88.10%,11.90%,Torrent,,Rain Dish,Battle Bond,Air Slash,Flying,Mild,Sp. Attack,Defense
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Caterpie,0,,Caterpie,Chenipan,10,,,caterpie,Caterpie,,caterpie,Bug,,,,"3,840",Bug,,50.00%,50.00%,Shield Dust,,Run Away,Berserk,Ally Switch,Pyschic,Naive,Speed,Sp. Defense
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Caterpie,1,07,Metapod,Chrysacier,11,,,metapod,Metapod,,metapod,Bug,,,,"3,840",Bug,,50.00%,50.00%,Shed Skin,,,Big Pecks,Amnesia,Pyschic,Naughty,Attack,Sp. Defense
Yes,Yes,1,"Red, Green, Blue, Yellow",,,,Caterpie,2,10,Butterfree,Papilusion,12,,,butterfree,Butterfree,,butterfree,Bug,,Flying,,"3,840",Bug,,50.00%,50.00%,Compound Eyes,,Tinted Lens,Blaze,Anchor Shot,Steel,Quiet,Sp. Attack,Speed
Yes,Yes,4,"Diamond, Pearl, Platinium",Gender,,,Caterpie,3,10,Butterfree ♀,Papilusion ♀,12,,,butterfree,Butterfree,,butterfree-f,Bug,,Flying,,"3,840",Bug,,50.00%,50.00%,Compound Eyes,,Tinted Lens,Bulletproof,Ancient Power,Rock,Quirky,,
Yes,No,8,"Sword, Shield",,,Gigantamax,Caterpie,4,,Gigantamax Butterfree,Gigamax Papilusion,12,,,butterfree-gmax,Butterfree,,butterfree-gmax,Bug,,Flying,,"3,840",Bug,,50.00%,50.00%,Compound Eyes,,Tinted Lens,Cheek Pouch,Apple Acid,Grass,Rash,Sp. Attack,Sp. Defense
