#,Name,Red,Green,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Fire Red,Leaf Green,Emerald,Diamond,Pearl,Platinium,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Let's Go Pikachu,Let's Go Eevee,Sword,Shield,Brillant Diamond,Shining Pearl,Pokémon Legends Arceus
1,Bulbasaur,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,T,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,T,T,S,S,C,C,RD,RD,C,C,—
2,Ivysaur,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,T,T,E,E,E,E,DA,DA,E,E,—
3,Venusaur,E,E,E,E,Ev,Ev,Ev,EvE,EvE,E,E,EvE,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,T,T,E,E,E,E,DD,DD,E,E,—
4,Charmander,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,EvB,EvB,S,S,C,C,R,R,C,C,—
5,Charmeleon,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,EvB,EvB,E,E,E,E,D,D,E,E,—
6,Charizard,E,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,Ev,EvE,EvE,EvE,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,Ev,Ev,E,E,C,C,D,D,E,E,—
7,Squirtle,R,R,R,R,Ev,Ev,Ev,Ev,Ev,R,R,Ev,T,T,T,R,R,Ev,Ev,Ev,Ev,R,R,Ev,Ev,T,T,S,S,C,C,RD,RD,C,C,—
8,Wartortle,E,E,E,E,EvE,EvE,EvE,EvE,EvE,E,E,EvE,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,EvE,EvE,T,T,E,E,E,E,DA,DA,E,E,—
9,Blastoise,E,E,E,E,Ev,Ev,Ev,Ev,Ev,E,E,Ev,T,T,T,E,E,EvE,EvE,EvE,EvE,E,E,Ev,Ev,T,T,E,E,E,E,DD,DD,E,E,—
10,Caterpie,C,C,C,C,C,C,C,T,T,C,C,T,D,D,D,C,C,DWB,B,T,B,C,C,T,T,C,C,C,C,C,C,C,C,C,T,—
11,Metapod,C,C,C,C,C,C,C,T,T,C,C,T,D,D,D,C,C,DWB,C,T,B,E,C,T,T,C,C,C,C,C,C,C,C,E,T,—
12,Butterfree,E,E,E,E,C,C,C,T,T,E,E,T,DE,DE,DE,C,C,DW,C,T,C,E,E,T,T,C,C,C,C,C,E,C,C,E,T,—
13,Weedle,C,C,C,T,C,C,C,T,T,C,C,T,D,D,D,C,C,B,DWB,B,T,C,C,B,B,T,T,B,B,C,C,—,—,T,C,—
14,Kakuna,C,C,C,T,C,C,C,T,T,C,C,T,D,D,D,C,C,C,DWB,B,T,C,E,C,C,T,T,B,B,C,C,—,—,T,E,—
15,Beedrill,E,E,E,T,C,C,C,T,T,E,E,T,DE,DE,DE,C,C,C,DW,C,T,E,E,E,E,T,T,S,S,E,C,—,—,T,E,—
16,Pidgey,C,C,C,C,C,C,C,T,T,C,C,T,S,S,C,C,C,DW,C,DW,DW,C,C,B,B,T,T,B,B,C,C,—,—,S,S,—
17,Pidgeotto,C,C,C,C,C,C,C,T,T,C,C,T,E,E,E,C,C,DWE,E,DWE,DWE,E,E,C,C,T,T,B,B,C,C,—,—,E,E,—
18,Pidgeot,E,E,E,E,E,E,E,T,T,E,E,T,E,E,E,E,E,DWE,E,DWE,DWE,E,E,E,E,T,T,S,S,C,C,—,—,E,E,—
19,Rattata,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,B,B,C,C,T,T,C,C,T,T,T,T,C,C,—,—,C,C,—
19,"Rattata
(Alolan)",—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,C,C,C,C,R,R,—,—,—,—,—
20,Raticate,C,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C,C,C,C,C,C,T,T,C,C,T,T,T,T,C,C,—,—,C,C,—
